Nearest Neighbors,RBF SVM,Decision Tree,Random Forest,Neural Net,Naive Bayes,Linear SVM
0.84,0.7,0.78,0.72,0.82,0.82,0.78
0.64,0.7,0.68,0.7,0.76,0.74,0.74
0.7,0.7,0.7,0.7,0.66,0.72,0.74
0.66,0.7,0.8,0.7,0.8,0.72,0.82
0.52,0.68,0.76,0.7,0.84,0.76,0.8
0.64,0.7,0.8,0.72,0.72,0.64,0.7
0.72,0.7,0.78,0.72,0.78,0.7,0.74
0.64,0.7,0.68,0.7,0.78,0.66,0.74
0.66,0.7,0.7,0.68,0.76,0.66,0.74
0.66,0.7,0.8,0.74,0.8,0.8,0.82
0.7,0.7,0.72,0.7,0.72,0.8,0.76
0.68,0.7,0.68,0.7,0.72,0.7,0.72
0.72,0.7,0.64,0.68,0.72,0.7,0.7
0.66,0.7,0.66,0.7,0.66,0.68,0.66
0.62,0.7,0.72,0.72,0.82,0.86,0.84
0.62,0.7,0.66,0.74,0.82,0.78,0.78
0.68,0.7,0.7,0.68,0.8,0.7,0.8
0.74,0.7,0.7,0.72,0.74,0.7,0.68
0.76,0.7,0.74,0.72,0.82,0.72,0.8
0.76,0.7,0.74,0.7,0.8,0.64,0.78
