Naive Bayes,Nearest Neighbors
0.625,0.75
0.625,1.0
0.75,0.875
0.75,0.625
0.625,0.625
0.5,0.875
0.75,0.75
0.8571428571428571,0.8571428571428571
0.8571428571428571,0.8571428571428571
0.8571428571428571,0.8571428571428571
0.2857142857142857,0.7142857142857143
0.2857142857142857,0.8571428571428571
0.7142857142857143,1.0
0.7142857142857143,0.7142857142857143
0.7142857142857143,1.0
0.5714285714285714,0.7142857142857143
0.8571428571428571,1.0
0.42857142857142855,1.0
0.7142857142857143,0.8571428571428571
0.7142857142857143,0.7142857142857143
0.7142857142857143,1.0
0.8333333333333334,1.0
0.8333333333333334,0.8333333333333334
0.5,0.6666666666666666
0.6666666666666666,0.5
0.6666666666666666,0.8333333333333334
0.8333333333333334,0.6666666666666666
0.8333333333333334,1.0
0.5,1.0
0.8333333333333334,0.6666666666666666
