Neural Net,Decision Tree,Linear SVM,AdaBoost,Naive Bayes,RBF SVM,Nearest Neighbors,Random Forest
0.6491228070175439,0.9385964912280702,0.9590643274853801,0.956140350877193,0.9444444444444444,0.8216374269005848,0.9649122807017544,0.9532163742690059
0.6510263929618768,0.9472140762463344,0.967741935483871,0.9618768328445748,0.967741935483871,0.8563049853372434,0.9736070381231672,0.9736070381231672
0.6491228070175439,0.9444444444444444,0.9678362573099415,0.9649122807017544,0.9678362573099415,0.847953216374269,0.9649122807017544,0.9678362573099415
0.6510263929618768,0.9560117302052786,0.967741935483871,0.967741935483871,0.9560117302052786,0.8563049853372434,0.9706744868035191,0.9648093841642229
0.6491228070175439,0.9415204678362573,0.9736842105263158,0.9736842105263158,0.9590643274853801,0.8304093567251462,0.9736842105263158,0.9678362573099415
0.6510263929618768,0.9354838709677419,0.9648093841642229,0.9560117302052786,0.967741935483871,0.8651026392961877,0.967741935483871,0.9706744868035191
0.6491228070175439,0.9619883040935673,0.9707602339181286,0.9532163742690059,0.9619883040935673,0.8508771929824561,0.9649122807017544,0.9824561403508771
0.6510263929618768,0.9354838709677419,0.9618768328445748,0.9413489736070382,0.9589442815249267,0.841642228739003,0.9648093841642229,0.9648093841642229
0.6491228070175439,0.9473684210526315,0.9678362573099415,0.9707602339181286,0.9707602339181286,0.8567251461988304,0.9678362573099415,0.9619883040935673
0.6510263929618768,0.9090909090909091,0.9706744868035191,0.9618768328445748,0.9530791788856305,0.8475073313782991,0.9706744868035191,0.9706744868035191
