Decision Tree,Naive Bayes,Linear SVM,Neural Net,RBF SVM,Random Forest,Nearest Neighbors
0.5647840531561462,0.5647840531561462,0.6578073089700996,0.5980066445182725,0.7508305647840532,0.6146179401993356,0.6146179401993356
0.6,0.6566666666666666,0.6566666666666666,0.66,0.76,0.74,0.63
0.6877076411960132,0.6578073089700996,0.6578073089700996,0.6345514950166113,0.7541528239202658,0.6710963455149501,0.6411960132890365
0.65,0.6333333333333333,0.6566666666666666,0.6566666666666666,0.7266666666666667,0.6766666666666666,0.6
0.6877076411960132,0.6445182724252492,0.6578073089700996,0.6478405315614618,0.7873754152823921,0.707641196013289,0.5980066445182725
0.74,0.6133333333333333,0.6566666666666666,0.66,0.78,0.7566666666666667,0.61
0.7840531561461794,0.584717607973422,0.6578073089700996,0.627906976744186,0.770764119601329,0.717607973421927,0.6644518272425249
0.6266666666666667,0.6566666666666666,0.6566666666666666,0.6633333333333333,0.79,0.6833333333333333,0.6566666666666666
0.7475083056478405,0.6578073089700996,0.6578073089700996,0.6710963455149501,0.7774086378737541,0.6910299003322259,0.6345514950166113
0.7433333333333333,0.5866666666666667,0.6533333333333333,0.6566666666666666,0.7566666666666667,0.6833333333333333,0.57
