Naive Bayes,Nearest Neighbors
0.6,0.7
0.7,0.7
0.7,0.9
0.6,0.6
0.5555555555555556,0.6666666666666666
0.5,0.625
0.625,0.5
0.625,0.625
0.5,0.625
0.625,0.75
0.625,0.75
0.7142857142857143,0.8571428571428571
1.0,0.8571428571428571
0.7142857142857143,0.8571428571428571
0.8571428571428571,0.7142857142857143
0.5714285714285714,0.42857142857142855
0.7142857142857143,0.5714285714285714
0.42857142857142855,0.5714285714285714
0.8571428571428571,0.7142857142857143
0.8571428571428571,0.7142857142857143
