Decision Tree,Naive Bayes,Neural Net,RBF SVM,Random Forest,Nearest Neighbors
0.726,0.686,0.724,0.7,0.708,0.684
0.68,0.704,0.762,0.698,0.724,0.66
0.708,0.404,0.786,0.7,0.704,0.686
0.706,0.734,0.772,0.698,0.718,0.686
0.714,0.406,0.758,0.7,0.702,0.658
0.716,0.716,0.72,0.7,0.714,0.676
0.694,0.758,0.726,0.698,0.7,0.666
0.708,0.688,0.758,0.7,0.718,0.678
0.69,0.714,0.758,0.7,0.706,0.69
0.732,0.704,0.772,0.698,0.706,0.67
