Naive Bayes,Nearest Neighbors
0.6666666666666666,0.5238095238095238
0.6666666666666666,0.8095238095238095
0.6666666666666666,0.6666666666666666
0.6190476190476191,0.7619047619047619
0.6666666666666666,0.5238095238095238
0.65,0.45
0.65,0.5
0.6,0.65
0.65,0.55
0.65,0.9
0.65,0.6
0.65,0.65
0.65,0.6
0.65,0.5
0.65,0.65
0.65,0.65
0.6,0.6
0.65,0.7
0.65,0.8
0.65,0.55
0.65,0.55
0.65,0.75
0.65,0.5
0.65,0.55
0.65,0.7
0.6,0.65
0.6842105263157895,0.631578947368421
0.631578947368421,0.5789473684210527
0.6842105263157895,0.8421052631578947
0.6842105263157895,0.6842105263157895
