n_db,cv_method,measure,p,r,dbs
7,k20,t,0.1,9,breastcan:wisconsin:ionosphere:heart:liver:hayes:wine
7,k30,t,0.1,9,breastcan:wisconsin:ionosphere:heart:liver:hayes:wine
7,k20,w,0.1,9,breastcan:wisconsin:ionosphere:heart:liver:hayes:wine
7,k30,w,0.1,1,breastcan:wisconsin:ionosphere:heart:liver:hayes:wine
7,k30,w,0.05,9,breastcan:wisconsin:ionosphere:heart:liver:hayes:wine
6,k20,t,0.1,8,breastcan:wisconsin:ionosphere:liver:hayes:wine
6,k10,w,0.1,1,breastcan:wisconsin:ionosphere:heart:liver:hayes
6,k10,w,0.1,8,breastcan:wisconsin:ionosphere:liver:hayes:wine
6,k20,w,0.1,7,breastcan:ionosphere:heart:liver:hayes:wine
6,k20,w,0.1,8,breastcan:wisconsin:ionosphere:liver:hayes:wine
6,k30,w,0.1,9,breastcan:wisconsin:ionosphere:heart:liver:hayes
6,k10,w,0.05,1,breastcan:wisconsin:ionosphere:heart:liver:hayes
6,k10,w,0.05,4,wisconsin:ionosphere:heart:liver:hayes:wine
6,k10,w,0.05,7,breastcan:ionosphere:heart:liver:hayes:wine
6,k10,w,0.05,8,breastcan:wisconsin:ionosphere:liver:hayes:wine
6,k20,w,0.05,4,breastcan:wisconsin:ionosphere:heart:liver:wine
6,k20,w,0.05,9,breastcan:wisconsin:ionosphere:liver:hayes:wine
6,k30,w,0.05,1,breastcan:wisconsin:ionosphere:liver:hayes:wine
6,k30,w,0.05,8,breastcan:wisconsin:ionosphere:liver:hayes:wine
5,k10,t,0.1,1,breastcan:ionosphere:liver:hayes:wine
5,k10,t,0.1,3,wisconsin:ionosphere:liver:hayes:wine
5,k10,t,0.1,4,wisconsin:ionosphere:heart:hayes:wine
5,k10,t,0.1,7,breastcan:ionosphere:heart:hayes:wine
5,k10,t,0.1,8,wisconsin:ionosphere:liver:hayes:wine
5,k20,t,0.1,4,breastcan:wisconsin:ionosphere:heart:wine
5,k20,t,0.1,6,breastcan:ionosphere:liver:hayes:wine
5,k30,t,0.1,3,breastcan:ionosphere:liver:hayes:wine
5,k2x5,t,0.1,2,breastcan:wisconsin:ionosphere:heart:hayes
5,k2x5,t,0.1,6,breastcan:ionosphere:liver:hayes:wine
5,k10,t,0.05,4,wisconsin:ionosphere:heart:hayes:wine
5,k10,t,0.05,7,breastcan:ionosphere:heart:hayes:wine
5,k20,t,0.05,0,wisconsin:ionosphere:liver:hayes:wine
5,k30,t,0.05,3,breastcan:ionosphere:liver:hayes:wine
5,k30,t,0.05,9,breastcan:ionosphere:liver:hayes:wine
5,k20,t,0.01,0,wisconsin:ionosphere:liver:hayes:wine
5,k30,t,0.01,0,ionosphere:heart:liver:wine:diabetes
5,k2x5,t,0.01,2,breastcan:wisconsin:ionosphere:heart:hayes
5,k2x5,t,0.01,6,breastcan:ionosphere:liver:hayes:wine
5,k10,w,0.1,6,breastcan:wisconsin:ionosphere:hayes:wine
5,k20,w,0.1,0,wisconsin:ionosphere:liver:hayes:wine
5,k20,w,0.1,3,wisconsin:ionosphere:heart:liver:hayes
5,k20,w,0.1,4,breastcan:wisconsin:ionosphere:heart:wine
5,k20,w,0.1,6,breastcan:ionosphere:liver:hayes:wine
5,k30,w,0.1,0,breastcan:ionosphere:heart:hayes:wine
5,k30,w,0.1,2,wisconsin:ionosphere:heart:liver:wine
5,k30,w,0.1,3,breastcan:ionosphere:liver:hayes:wine
5,k2x5,w,0.1,0,breastcan:wisconsin:ionosphere:liver:iris
5,k2x5,w,0.1,2,breastcan:wisconsin:ionosphere:heart:hayes
5,k2x5,w,0.1,4,breastcan:wisconsin:ionosphere:heart:liver
5,k2x5,w,0.1,6,breastcan:ionosphere:liver:hayes:wine
5,k10,w,0.05,6,breastcan:wisconsin:ionosphere:hayes:wine
5,k20,w,0.05,0,wisconsin:ionosphere:liver:hayes:wine
5,k20,w,0.05,2,breastcan:ionosphere:liver:hayes:wine
5,k20,w,0.05,6,breastcan:ionosphere:liver:hayes:wine
5,k20,w,0.05,7,ionosphere:heart:liver:hayes:wine
5,k30,w,0.05,0,breastcan:ionosphere:liver:hayes:wine
5,k30,w,0.05,2,breastcan:ionosphere:heart:liver:wine
5,k30,w,0.05,3,breastcan:ionosphere:liver:hayes:wine
5,k30,w,0.05,4,breastcan:wisconsin:ionosphere:liver:wine
